customer_id,name,age,city,join_date,email,phone
CUST_0001,Allison Hill,58.0,Cairo,2023-03-30,jillrhodes@example.net,296-500-1338
CUST_0002,Meredith Barnes,19.0,Mansoura,2025-03-01,lisa02@example.net,(254)923-5116x1
CUST_0003,Valerie Gray,35.0,Alexandria,2026-01-15,maria95@example.net,610.934.1316
CUST_0004,Holly Wood,32.0,Alexandria,2023-02-15,jacqueline19@example.net,(783)227-6483
CUST_0005,Andrew Stewart,65.0,Cairo,2023-08-15,clarksherri@example.net,837-767-2423x88
CUST_0006,Zachary Hicks,61.0,Mansoura,2022-02-12,callahaneric@example.org,+1-669-716-6978
CUST_0007,Jeffrey Chavez,75.0,Aswan,2023-08-02,williamrodriguez@example.net,289-332-5288x09
CUST_0008,Sherry Decker,23.0,Aswan,2023-12-17,brianhumphrey@example.org,671-882-2782
CUST_0009,Tanya Campos,45.0,Cairo,2023-01-20,raymond57@example.net,213.331.5098x39
CUST_0010,Amy Jones,19.0,Cairo,2021-08-11,chad34@example.net,838.729.9737x63
CUST_0011,John Daniel,31.0,Alexandria,2022-03-07,powellmatthew@example.org,933.587.2624
CUST_0012,Angela Morton,50.0,Aswan,2026-01-09,williamsyvette@example.org,432-867-7360
CUST_0013,James House,,Aswan,2025-03-19,rodney87@example.org,243.909.8050
CUST_0014,Sarah Moore,30.0,Mansoura,2025-08-30,yorkcasey@example.org,+1-736-619-3990
CUST_0015,Mike Allen,59.0,Mansoura,2024-09-16,emilyevans@example.com,001-310-579-911
CUST_0016,Christopher Bass,52.0,Luxor,2023-12-01,contrerasangela@example.net,524-711-8244
CUST_0017,Mark Baker,,Luxor,2025-07-01,rebecca01@example.net,(340)405-2427x8
CUST_0018,Sandra Aguilar,55.0,Giza,2022-08-09,tanderson@example.com,4535315869
CUST_0019,Vanessa Cochran,69.0,Cairo,2024-11-06,whitesandra@example.com,+1-534-221-6073
CUST_0020,Jennifer Ramirez,66.0,Alexandria,2021-12-07,michael86@example.net,+1-350-814-2940
CUST_0021,Richard Graham,62.0,Luxor,2025-09-10,cruzbarbara@example.com,7607883561
CUST_0022,Belinda Mccullough,39.0,Giza,2025-08-28,elizabeth56@example.net,682-636-6299x46
CUST_0023,Richard Lawson,27.0,Alexandria,2024-02-01,rramos@example.org,272.214.8951x34
CUST_0024,John Atkinson,66.0,Giza,2021-12-18,operry@example.net,567.463.2016
CUST_0025,Melissa Marshall,24.0,Cairo,2026-01-31,samanthamartinez@example.org,988.995.7986x87
CUST_0026,David Walsh,42.0,Cairo,2025-10-11,rsims@example.com,443-545-5812
CUST_0027,Christian Lewis,40.0,Giza,2024-11-14,drivera@example.com,2367690967
CUST_0028,James Snow,56.0,Giza,2024-11-27,tracynelson@example.com,2658627298
CUST_0029,Mary Miller,69.0,Cairo,2024-12-27,michellewhite@example.com,(253)775-5646x4
CUST_0030,Barry Bernard,64.0,Luxor,2021-09-08,herringjames@example.org,+1-323-427-1937
CUST_0031,Ashley Johnson,52.0,Cairo,2023-12-31,tsanders@example.org,793-814-9190
CUST_0032,Andrea Holland,42.0,Cairo,2021-06-14,gshort@example.com,(672)762-8498x7
CUST_0033,Sandra Miller,53.0,Giza,2025-03-06,karenhudson@example.net,(650)275-2735x4
CUST_0034,Cheryl Allen,71.0,Mansoura,2024-10-19,ppeters@example.net,777.801.4363x49
CUST_0035,Krista Bell MD,57.0,Giza,2023-12-14,jerry35@example.org,001-682-533-749
CUST_0036,Eric Erickson,54.0,Alexandria,2022-06-03,brandon08@example.com,001-227-610-947
CUST_0037,Karen Short,63.0,,2024-10-01,ojones@example.net,8225941318
CUST_0038,Jamie Kerr,20.0,Mansoura,2023-11-15,ntorres@example.org,+1-213-834-1232
CUST_0039,Kirk Carter,32.0,Giza,2023-04-25,jasmine71@example.net,649.436.1832
CUST_0040,Christopher Parker,23.0,Alexandria,2026-03-09,scott74@example.net,(248)387-7190x6
CUST_0041,Michael Valencia,73.0,Cairo,2026-05-04,keyemily@example.com,001-802-978-742
CUST_0042,Julie Ortiz,42.0,Giza,2024-01-28,hodgemark@example.net,246.980.7154x51
CUST_0043,Cody Cox,,Mansoura,2025-08-01,nwolf@example.com,+1-424-677-1093
CUST_0044,Kristen Davis,71.0,Giza,2022-04-23,pvalentine@example.org,448.346.7737x82
CUST_0045,Richard Perry,28.0,Giza,2025-08-30,lori44@example.net,001-872-978-755
CUST_0046,Sheila Pollard,40.0,Alexandria,2023-05-17,xhall@example.com,7573662702
CUST_0047,Jessica Fox,60.0,Giza,2025-03-25,bowenrobert@example.net,(817)745-9615
CUST_0048,Stacy Freeman,62.0,Mansoura,2025-12-11,williamsonjimmy@example.net,631-761-1724x00
CUST_0049,Charles Schmidt,59.0,Cairo,2026-02-27,georgemiller@example.com,+1-637-492-3747
CUST_0050,Tony Huerta,56.0,Mansoura,2023-11-21,dvaughn@example.com,667.613.6959
CUST_0051,Ronald Foster,28.0,Aswan,2021-05-31,lozanojulie@example.com,001-739-453-394
CUST_0052,Edward Burgess,64.0,Alexandria,2022-11-02,davidryan@example.com,784.324.7451x71
CUST_0053,Alexis Herrera,28.0,Luxor,2025-03-18,emily49@example.com,+1-651-837-0985
CUST_0054,Andrew Johnson,42.0,Giza,2025-07-14,davispaige@example.org,(275)786-9261x7
CUST_0055,Jeremy Young,58.0,Mansoura,2024-06-05,pollardmichael@example.net,(706)543-1713x9
CUST_0056,Rachel Harris DVM,53.0,Alexandria,2026-01-21,brendali@example.org,729-504-2284x21
CUST_0057,Alexis Baker,61.0,Giza,2022-06-03,vfox@example.org,975.289.1783x90
CUST_0058,John Morales,71.0,Cairo,2022-04-06,cjoseph@example.org,759-821-2499
CUST_0059,Kerry Chavez DDS,32.0,Cairo,2022-03-10,farrelldebra@example.net,001-736-673-657
CUST_0060,Christian Leblanc,69.0,Giza,2021-11-30,deckerchristopher@example.org,001-252-680-988
CUST_0061,Heather Lane,43.0,Giza,2023-02-25,dianewalker@example.org,(285)614-9368x9
CUST_0062,Donald Farmer,22.0,Alexandria,2024-03-26,adam29@example.net,(612)701-8366x7
CUST_0063,Latoya Miller,54.0,Mansoura,2021-10-16,ericwilliamson@example.net,547-367-9764
CUST_0064,Brian Gregory,38.0,Alexandria,2025-06-25,brandon69@example.org,2349324451
CUST_0065,Casey James,59.0,Luxor,2023-04-20,charles06@example.org,715.496.9664x16
CUST_0066,Lisa Collier,43.0,Mansoura,2024-06-03,kimdaniel@example.com,001-468-316-453
CUST_0067,Ashley Hicks,47.0,Alexandria,2024-04-25,jessica23@example.org,(943)929-2127
CUST_0068,Sonia Day,34.0,Alexandria,2024-02-04,edward17@example.com,+1-744-690-5814
CUST_0069,Sean Wyatt,33.0,Mansoura,2025-08-28,jford@example.net,2799359782
CUST_0070,Steven Cooper,53.0,Aswan,2022-01-23,benjaminzimmerman@example.com,789.325.5466x59
CUST_0071,Jasmine King,34.0,Mansoura,2022-08-16,christopher25@example.com,+1-762-291-4865
CUST_0072,Christopher Lewis,55.0,Luxor,2025-06-24,jeremytaylor@example.org,418-488-0592x96
CUST_0073,Amanda Diaz,75.0,,2023-05-13,wbishop@example.net,838.834.7359x77
CUST_0074,Ruth Solis,43.0,Giza,2022-07-09,brett75@example.net,481-841-2478
CUST_0075,Thomas Velasquez,32.0,Alexandria,2024-04-26,perryrandy@example.com,461.453.0515
CUST_0076,Thomas Kennedy,50.0,Luxor,2022-07-11,awest@example.org,6435289861
CUST_0077,Anthony Barnes,23.0,Cairo,2025-03-26,rodriguezrebecca@example.net,+1-708-593-2460
CUST_0078,Chelsea Barnett,73.0,Cairo,2025-10-18,carlos88@example.net,380.767.0654x05
CUST_0079,Harold Morgan,27.0,Mansoura,2022-10-31,epollard@example.net,(221)770-4303
CUST_0080,Kaylee Hays,28.0,Mansoura,2025-12-18,wking@example.net,845.905.4156
CUST_0081,Jasmine Beltran,45.0,Aswan,2025-07-25,zrichardson@example.net,716-616-9284x51
CUST_0082,Lance Simmons,22.0,Luxor,2025-02-13,sergio59@example.com,401-365-8202x97
CUST_0083,Matthew Cox,42.0,Aswan,2026-03-03,jacobserika@example.com,(271)492-8565x4
